stateCode,districtName,policeStationName,contactNumber,email
AP,krishna,Agiripalli Police Station,08656 224233,digwrl@appolice.gov.in
AP,krishna,Bandar taluk Police Station,"08672 223322, 9440796417",diggtr@appolice.gov.in
AP,krishna,Bantumilli Police Station,"08672 232333, 9440796419",digelr@appolice.gov.in
AP,krishna,Challapalli Police Station,"08671 222033, 9440796471",digvsp@appolice.gov.in
AP,krishna,Chandarlaapadu Police Station,"08678 282266, 9440796459",cphyd@appolice.gov.in
AP,krishna,Chatrai Police Station,"08673 257247, 9440796455",adcpthyd@appolice.gov.in
AP,krishna,Chilakalapudi Police Station,"08672 252233, 9440796413",adcpchyd@appolice.gov.in
AP,krishna,Akinduru Police Station,"08674 273233, 9440900963",digkur@appolice.gov.in
AP,krishna,Avanigadda Police Station,"08671 272333, 9440796467",digatp@appolice.gov.in
AP,krishna,Gampalafudem Police Station,"08673 274233, 9440796454",jtcpcord@appolice.gov.in
AP,krishna,Gudivada Town Police Station,"08674 243333, 9440796423",adcptr1@appolice.gov.in
AP,krishna,Gudivada li Police Station,"08674 242153, 9440796424",adcptr2@appolice.gov.in
AP,krishna,Chillakallu Police Station,"08654 222220, 9440796465",adcplhyd@appolice.gov.in
AP,krishna,Gudivada Traffic Police Station,9440796425,dcpwz@appolice.gov.in
AP,krishna,Gudlavalleru Police Station,"08674 273333, 9440796432",depnz@appolice.gov.in
AP,krishna,Ghantasala Police Station,"08671 254233, 9440796472",jtcpadm@appolice.gov.in
AP,krishna,Gudivada Taluk Police Station,"08674 242143, 9440796427",dcpez@appolice.gov.in
AP,krishna,Guduru Police Station,"08672 244233, 9440796421",depsz@appolice.gov.in
AP,krishna,Inagudur Police Station,"08672 259333, 9440796412",dcpd2@appolice.gov.in
AP,krishna,Hanuman Police Station,"08656 242020, 9440796443",dcpd1@appolice.gov.in
AP,krishna,Jaggaiahpet Police Station,"08654 222033, 9440796462",dcpsb@appolice.gov.in
AP,krishna,Kaikaluru Rural Police Station,"08677 222333, 9440796437",dcptr@appolice.gov.in
AP,krishna,Gkonduru Police Station,"0866 2802233, 9440796448",jtpcar@appolice.gov.in
AP,krishna,Kalidindi Police Station,"08677 232033, 9440796435",dcpsit@appolice.gov.in
AP,krishna,Kuchipudi Police Station,"08644 252333, 9440796473",adcp@appolice.gov.in
AP,krishna,Mandaralli Police Station,"08677 280233, 9440796436",cpvza@appolice.gov.in
AP,krishna,Mudineppalli Police Station,"08674 233333, 9440796428",dcpvza@appolice.gov.in
AP,krishna,Kruthivennu Police Station,"08672 237333, 9440796420",adcptf2@appolice.gov.in
AP,krishna,Musunuru Police Station,"08656 227233, 9440796441",cpvsp@appolice.gov.in
